,testperson,group,Sphere_0.3_18_40,Sphere_0.3_18_27,Sphere_0.3_18_13,Sphere_0.3_18_0,Sphere_0.3_18_-13,Sphere_0.3_18_-27,Sphere_0.3_18_-40,Sphere_0.3_24_40,Sphere_0.3_24_27,Sphere_0.3_24_13,Sphere_0.3_24_0,Sphere_0.3_24_-13,Sphere_0.3_24_-27,Sphere_0.3_24_-40,Sphere_0.3_30_40,Sphere_0.3_30_27,Sphere_0.3_30_13,Sphere_0.3_30_0,Sphere_0.3_30_-13,Sphere_0.3_30_-27,Sphere_0.3_30_-40,Sphere_0.8_18_40,Sphere_0.8_18_27,Sphere_0.8_18_13,Sphere_0.8_18_0,Sphere_0.8_18_-13,Sphere_0.8_18_-27,Sphere_0.8_18_-40,Sphere_0.8_24_40,Sphere_0.8_24_27,Sphere_0.8_24_13,Sphere_0.8_24_0,Sphere_0.8_24_-13,Sphere_0.8_24_-27,Sphere_0.8_24_-40,Sphere_0.8_30_40,Sphere_0.8_30_27,Sphere_0.8_30_13,Sphere_0.8_30_0,Sphere_0.8_30_-13,Sphere_0.8_30_-27,Sphere_0.8_30_-40,Cylinder_0.3_18_40,Cylinder_0.3_18_27,Cylinder_0.3_18_13,Cylinder_0.3_18_0,Cylinder_0.3_18_-13,Cylinder_0.3_18_-27,Cylinder_0.3_18_-40,Cylinder_0.3_24_40,Cylinder_0.3_24_27,Cylinder_0.3_24_13,Cylinder_0.3_24_0,Cylinder_0.3_24_-13,Cylinder_0.3_24_-27,Cylinder_0.3_24_-40,Cylinder_0.3_30_40,Cylinder_0.3_30_27,Cylinder_0.3_30_13,Cylinder_0.3_30_0,Cylinder_0.3_30_-13,Cylinder_0.3_30_-27,Cylinder_0.3_30_-40,Cylinder_0.8_18_40,Cylinder_0.8_18_27,Cylinder_0.8_18_13,Cylinder_0.8_18_0,Cylinder_0.8_18_-13,Cylinder_0.8_18_-27,Cylinder_0.8_18_-40,Cylinder_0.8_24_40,Cylinder_0.8_24_27,Cylinder_0.8_24_13,Cylinder_0.8_24_0,Cylinder_0.8_24_-13,Cylinder_0.8_24_-27,Cylinder_0.8_24_-40,Cylinder_0.8_30_40,Cylinder_0.8_30_27,Cylinder_0.8_30_13,Cylinder_0.8_30_0,Cylinder_0.8_30_-13,Cylinder_0.8_30_-27,Cylinder_0.8_30_-40,Car_0.3_18_40,Car_0.3_18_27,Car_0.3_18_13,Car_0.3_18_0,Car_0.3_18_-13,Car_0.3_18_-27,Car_0.3_18_-40,Car_0.3_24_40,Car_0.3_24_27,Car_0.3_24_13,Car_0.3_24_0,Car_0.3_24_-13,Car_0.3_24_-27,Car_0.3_24_-40,Car_0.3_30_40,Car_0.3_30_27,Car_0.3_30_13,Car_0.3_30_0,Car_0.3_30_-13,Car_0.3_30_-27,Car_0.3_30_-40,Car_0.8_18_40,Car_0.8_18_27,Car_0.8_18_13,Car_0.8_18_0,Car_0.8_18_-13,Car_0.8_18_-27,Car_0.8_18_-40,Car_0.8_24_40,Car_0.8_24_27,Car_0.8_24_13,Car_0.8_24_0,Car_0.8_24_-13,Car_0.8_24_-27,Car_0.8_24_-40,Car_0.8_30_40,Car_0.8_30_27,Car_0.8_30_13,Car_0.8_30_0,Car_0.8_30_-13,Car_0.8_30_-27,Car_0.8_30_-40
0,A8,A,97.10933,77.39013,81.93422,85.55669,99.47316,89.98227,83.46278,35.62349,85.79296,70.11969,75.81963,58.26637,116.9548,80.23476,32.16508,64.49654,63.87235,74.31385,67.51139,62.03492,97.90387,112.9738,61.20823,74.11294,90.41672,145.4198,74.91745,103.9078,32.84516,50.70823,110.0808,87.64449,68.91887,24.73845,33.24438,28.96963,64.45676,12.95757,70.61457,83.08949,73.693,87.7883,93.28952,108.0832,90.13116,129.363,99.36456,93.52693,103.1509,74.04381,88.93028,30.3063,85.77489,92.67495,82.74447,78.25496,51.60789,83.40458,80.04515,85.78288,82.22467,26.62414,114.8068,67.33641,43.65956,86.10082,9.275034,74.53535,85.26377,59.23724,118.4247,67.67428,88.36852,118.6728,83.88081,81.62962,94.26177,87.67108,23.16903,74.57063,71.93498,72.73917,79.74974,47.19889,33.48315,81.43638,48.90159,68.12175,113.8408,53.17716,84.06971,35.71618,20.82634,61.55792,34.86079,55.5312,71.93806,64.39039,40.66804,57.32523,46.81089,53.92061,24.74209,47.91196,51.96809,101.9461,104.7932,64.71944,98.99693,80.81226,69.12573,102.237,47.55196,72.18349,68.78049,73.50717,32.45894,83.02393,32.72747,53.19226,58.36509,59.94529,119.8049,83.38858,74.91223,49.59456
1,A10,A,17.01087,30.07733,8.057555,6.637057,74.06474,124.8532,35.43771,26.18537,21.3898,133.7833,29.4702,13.95145,18.63532,32.90685,25.51898,9.574133,16.85046,2.191538,19.02867,22.5462,59.43784,32.67574,79.09134,30.70346,9.882915,19.60083,16.19823,35.93816,19.08465,12.67211,10.44772,38.93035,7.405735,76.18629,30.53725,24.81621,8.800833,17.02229,3.957531,20.4092,17.6302,30.57359,38.83486,36.44664,35.72604,75.64746,38.20912,69.61877,50.25743,43.24125,54.05041,154.4932,31.5619,51.48178,39.90808,40.09203,40.58563,33.72316,21.41708,128.8909,42.69907,21.16086,36.1826,27.52197,28.62751,147.4774,19.30765,18.27877,139.4825,42.42883,117.8657,21.259,10.38424,17.54957,26.32496,17.83793,31.51135,52.65402,33.44925,18.20703,68.48818,13.77516,57.33629,20.81162,72.06087,21.33907,122.8725,111.5196,42.66666,140.6948,38.61488,76.52747,49.32623,46.71757,41.71286,44.56371,33.65878,58.20909,33.77714,35.96535,42.51255,18.79392,28.30351,24.16174,35.32849,143.4264,27.06613,138.3929,22.30673,31.90013,26.29416,33.94265,33.8271,141.2277,48.53272,20.06829,34.82465,34.49441,45.82543,24.16744,18.50311,17.53713,115.427,20.56196,114.2685,38.57026
2,A11,A,63.39889,68.20316,83.7383,52.88625,14.92397,47.25444,38.32455,32.748,54.65948,29.18674,62.7037,110.3366,62.18139,43.35556,32.63661,27.76591,15.45354,37.93788,23.8768,67.33521,39.75127,29.18669,56.26414,49.9295,31.33446,31.79514,57.45072,42.44844,131.8884,42.59111,46.70936,59.85474,21.93814,26.50022,37.59033,58.68076,40.98824,16.35267,4.925145,104.828,22.40269,34.48761,45.16183,83.09381,62.40379,50.71556,76.48236,123.0019,71.12548,47.29567,88.86246,60.96447,57.03155,53.92816,69.6246,36.8981,58.70723,44.68216,48.36009,68.19139,43.33265,23.26479,110.3972,69.00893,34.92529,67.54753,30.02148,110.5976,30.59977,49.61488,89.10669,45.26562,73.79317,18.62928,50.13771,31.72828,115.2725,94.54374,21.25797,122.4512,30.35554,33.35959,36.1325,51.77395,58.41436,52.32883,54.77013,51.54509,42.10464,53.49152,49.54039,41.80412,69.31995,69.90012,26.62672,39.33812,44.535,48.81969,82.39954,114.6409,25.26404,40.02162,30.19973,46.89709,36.75403,55.51661,54.57221,23.87736,54.74494,69.06892,62.13714,40.68258,95.81196,38.28289,27.52541,59.62878,60.68887,26.82246,39.58678,39.28623,30.47109,34.74822,12.87884,19.91915,25.81491,88.41809
3,A12,A,71.07567,30.00377,14.17308,93.9986,74.86257,25.92093,43.5224,40.43612,31.41083,15.26753,3.162137,13.39033,37.85281,38.80987,36.18086,18.85003,9.926971,4.178715,5.347836,27.44298,79.43894,38.4058,28.77709,12.7122,73.45535,37.80756,26.25015,55.92027,37.7878,31.56159,11.43144,18.66805,12.88902,24.86574,36.36257,38.39854,27.02889,13.08693,40.16318,19.95944,21.26973,20.47739,98.69406,32.85966,60.68246,82.62622,122.5711,83.51501,58.16265,61.70336,120.4045,79.98914,28.65698,76.9628,48.30648,65.26611,43.86156,63.67023,66.78224,75.7458,46.1133,24.19942,93.69264,49.37286,60.98695,73.19527,57.7439,76.20364,135.7044,83.8918,39.48311,138.6268,68.59135,74.01813,60.52743,86.89675,66.88863,28.93998,46.95018,83.05782,36.12153,86.2448,92.31796,38.06418,71.23427,60.65572,65.21614,58.31742,57.22829,99.83339,53.77538,72.44154,65.87695,68.46722,81.9349,67.26496,41.07225,82.64931,68.81481,64.59756,62.08884,112.2608,64.9844,26.83676,66.78713,65.99704,66.02836,79.33493,54.70517,60.93878,79.84695,125.6099,113.1449,88.14349,63.31521,80.48884,10.92935,39.28197,34.16043,49.47768,72.65919,21.44,72.03469,17.9624,67.16816,34.30802
4,A14,A,36.31083,128.2605,15.17665,33.99924,131.8718,43.75997,37.56926,37.32394,144.3317,16.70226,34.24101,60.12389,147.6458,168.5524,30.91146,63.57115,21.36033,155.6361,46.94765,138.1007,34.92361,49.46796,178.7144,58.07796,3.561711,146.3614,133.7778,142.4024,65.0858,69.76144,102.1897,28.33202,147.6804,41.26624,175.4977,57.40813,151.8932,30.41667,125.1969,27.22258,168.1994,160.5992,174.684,32.04533,166.1425,60.90842,180.995,53.63158,80.27885,79.86263,71.19968,68.02147,29.04208,43.04911,63.54302,126.043,160.7127,42.51817,43.79108,149.3906,46.57998,52.77259,31.92451,139.84,197.0787,128.4315,195.7101,158.1597,93.75121,52.60495,61.083,50.32631,58.27848,86.54996,28.34985,136.8718,125.9604,49.00129,54.24924,40.27487,39.86001,108.1023,182.2314,55.74285,116.8813,108.2246,46.83422,50.68858,86.12331,87.90685,60.38013,85.66875,110.0277,29.01037,91.81165,93.64318,88.19649,63.90822,108.5725,109.3431,44.11589,103.4469,41.5719,52.68101,74.50343,64.95341,36.2266,51.6656,77.42741,69.15369,58.62184,47.49994,43.20017,94.89057,49.93686,53.69914,74.70732,73.03358,70.48708,55.48687,66.70258,66.79392,34.84127,86.29922,52.47457,82.52026
5,A15,A,24.84514,16.93564,21.35148,17.41936,19.6243,93.4305,129.5628,27.45032,58.21781,20.12545,14.16097,32.74039,21.61303,39.51736,28.89217,22.61514,15.62754,81.7245,8.907969,25.86613,26.03358,23.62225,31.51996,27.2329,31.57409,49.57169,53.01057,115.3695,49.46841,49.1261,30.55337,26.11127,28.63006,31.52023,25.08671,37.02523,12.46367,15.90229,68.87087,101.0452,20.38722,23.28477,47.90632,22.98446,12.2118,9.270409,24.30146,43.82541,33.64716,32.35373,17.96194,43.37764,55.89733,21.5473,22.99668,28.94282,19.46476,19.40729,52.5397,6.156401,48.21748,12.21755,27.95432,34.4785,26.61955,29.16631,86.24594,27.35864,17.37041,155.8958,42.81043,19.18371,28.22914,34.40584,17.19057,15.38139,26.66594,25.62624,40.61961,6.545097,15.18355,22.50785,13.13463,20.56376,45.73842,61.74292,12.08043,33.07298,26.96424,27.01141,51.52866,31.00673,27.16518,28.95867,9.561325,17.18107,36.09792,44.77898,91.45879,27.61866,8.863368,4.122419,10.39284,23.21381,45.17072,59.69798,22.1768,17.83895,20.1123,16.62935,123.4193,83.40863,18.07286,32.50013,110.2509,66.25102,12.06914,26.45733,34.45807,32.61744,23.07104,39.43455,13.45488,36.55183,22.93124,43.62389
6,A16,A,71.54433,43.60885,74.56546,52.05764,23.17303,23.06602,37.68684,42.67241,13.71762,58.75223,15.63865,53.20232,18.98434,89.24297,34.17049,120.3004,76.55746,35.91665,9.720619,20.60791,33.99842,148.2937,67.82547,57.3189,60.89362,105.1077,25.48502,54.51996,60.4718,150.4428,19.06549,29.29923,19.68746,41.76287,45.25023,33.81182,35.76967,48.18388,49.559,59.02863,32.60783,51.95636,62.81503,76.00606,15.50937,70.34377,55.50735,38.65754,62.41446,73.57964,97.08326,48.31254,64.18792,15.16941,41.97766,38.14159,191.9248,23.32336,21.5125,41.45088,9.426094,22.40026,62.3942,45.03658,133.0212,102.4733,57.36306,31.21146,49.14396,35.54293,58.61443,119.4927,20.76261,92.94289,55.23067,139.6584,33.87798,24.31696,26.80467,134.8122,4.923794,129.6587,31.32183,34.55653,41.76186,65.39059,49.2877,8.99535,25.53108,25.08451,39.5856,32.84047,25.60941,67.64656,9.622579,16.36062,66.08627,67.85631,76.51787,42.96687,35.60115,44.41482,27.36819,75.72931,30.50769,103.8658,75.30936,83.06448,7.218225,91.45583,49.66875,77.63924,39.45399,99.75127,30.56102,79.95087,39.50063,34.27664,67.79547,135.1268,28.59469,29.45536,61.43727,31.04403,26.89901,129.0318
7,A17,A,63.70751,19.16373,136.5122,56.33038,122.4803,134.8395,35.48082,176.4199,93.39721,31.03482,101.5715,97.71618,56.24834,71.79153,45.16932,25.85404,20.94134,90.58123,99.37464,46.58056,43.90705,29.99341,51.08204,83.62076,92.45258,54.51393,16.67841,114.8794,157.576,133.095,17.79616,81.56429,85.69733,45.90659,69.10754,65.45487,42.82475,32.04507,32.59961,35.43412,59.73283,53.1836,57.92621,115.6504,30.69342,164.6377,69.63816,141.4407,152.6389,88.9725,164.3149,79.32215,198.0649,101.8563,126.5344,68.89916,47.45291,47.80275,41.96684,60.5657,84.68382,40.13248,58.78239,156.0663,104.7052,116.2846,137.1616,145.2324,33.8254,54.95734,30.27785,136.0282,109.5983,17.40632,71.45078,50.46266,67.84914,15.91805,14.27789,101.349,112.9017,35.50351,17.96552,74.57697,54.83148,133.5124,179.8486,83.53994,100.3131,60.13165,149.1701,113.1953,22.19286,118.5034,116.4169,79.75413,82.48271,82.1295,86.53705,19.4005,47.77479,94.71324,39.36819,16.14348,49.70229,53.25501,144.4854,86.55546,49.64169,67.23781,109.3441,61.3221,35.58396,85.69872,21.23431,68.0732,61.05116,57.91479,63.5092,33.86579,99.25763,114.7805,50.49614,82.37291,21.96682,29.37288
8,A18,A,42.68319,34.81002,178.1332,20.96748,28.2487,85.22977,48.99873,35.70501,32.73101,41.59501,26.64803,15.44603,32.91592,62.37843,88.5631,71.29501,80.11478,23.99126,25.57424,27.73729,52.99873,95.57105,68.07747,23.38697,22.20996,36.59924,46.0492,99.64182,114.7829,47.89161,50.21538,27.94384,10.94104,30.14032,26.92326,89.14549,82.40034,27.59669,7.462147,116.214,115.8013,38.43359,44.22985,62.90307,73.82748,33.25363,9.198153,98.9362,111.6856,54.80059,74.97884,33.77325,118.4464,28.05721,52.87107,110.2594,41.6793,66.2634,71.24712,13.0211,70.8887,66.55237,78.50113,47.06136,35.82137,33.02835,63.82535,85.57813,49.06717,40.38565,100.5403,26.06258,25.84829,60.49467,26.53028,82.24997,33.43744,37.68414,85.64139,31.58727,109.7298,54.39952,27.32403,56.72514,72.21156,28.21579,70.78168,27.29047,61.12152,48.91433,72.91901,76.5627,27.30412,71.12154,39.50044,66.57533,93.31128,42.47345,82.10458,117.9289,33.29791,27.21671,22.21455,61.44349,68.94755,40.59031,48.6457,30.28131,26.25591,49.45739,27.37584,35.83541,32.4179,87.03377,31.29375,28.96352,78.32658,56.49202,60.79996,34.37615,43.38718,78.53498,28.06741,21.67428,34.93304,37.19533
9,A19,A,26.30247,20.42692,18.76,52.39283,25.21188,25.72678,57.7049,83.46645,40.05054,14.16643,17.08946,18.72515,50.70563,33.42607,35.55687,16.00441,8.454259,56.2743,33.25008,28.59513,23.15373,33.01785,31.58669,53.44105,30.09131,37.77415,45.96231,78.16437,35.47509,51.14828,22.75841,26.59017,60.52179,14.08362,65.10617,30.90287,22.39308,48.20999,43.26384,15.16846,32.41071,25.71496,81.91531,68.73911,116.908,64.28508,73.99077,70.26387,41.8174,50.40124,52.54076,73.00134,23.28735,50.41419,43.86566,43.78023,33.68364,54.25646,43.99851,45.84188,49.92328,42.60423,36.81736,37.81815,22.83511,48.89724,55.53439,62.61117,63.65625,61.52191,25.50615,81.10025,52.40819,58.52624,45.26047,54.2615,60.42882,51.27405,25.54119,82.98475,56.34386,34.24658,45.91121,40.51227,71.84396,67.01831,57.45522,56.06455,59.37664,74.12872,76.15031,60.3625,60.04317,67.76405,61.16693,50.86346,58.64903,34.84105,81.3979,101.1145,51.02988,42.45407,40.929,47.18233,76.40008,26.21455,46.7787,65.00407,9.103445,71.78433,68.91508,31.31278,25.85136,45.69027,89.49973,28.67357,66.66997,56.21774,61.47592,65.76366,32.78027,53.30669,66.40327,30.14114,24.89826,27.23091
