,testperson,group,Sphere_0.3_18_40,Sphere_0.3_18_27,Sphere_0.3_18_13,Sphere_0.3_18_0,Sphere_0.3_18_-13,Sphere_0.3_18_-27,Sphere_0.3_18_-40,Sphere_0.3_24_40,Sphere_0.3_24_27,Sphere_0.3_24_13,Sphere_0.3_24_0,Sphere_0.3_24_-13,Sphere_0.3_24_-27,Sphere_0.3_24_-40,Sphere_0.3_30_40,Sphere_0.3_30_27,Sphere_0.3_30_13,Sphere_0.3_30_0,Sphere_0.3_30_-13,Sphere_0.3_30_-27,Sphere_0.3_30_-40,Sphere_0.8_18_40,Sphere_0.8_18_27,Sphere_0.8_18_13,Sphere_0.8_18_0,Sphere_0.8_18_-13,Sphere_0.8_18_-27,Sphere_0.8_18_-40,Sphere_0.8_24_40,Sphere_0.8_24_27,Sphere_0.8_24_13,Sphere_0.8_24_0,Sphere_0.8_24_-13,Sphere_0.8_24_-27,Sphere_0.8_24_-40,Sphere_0.8_30_40,Sphere_0.8_30_27,Sphere_0.8_30_13,Sphere_0.8_30_0,Sphere_0.8_30_-13,Sphere_0.8_30_-27,Sphere_0.8_30_-40,Cylinder_0.3_18_40,Cylinder_0.3_18_27,Cylinder_0.3_18_13,Cylinder_0.3_18_0,Cylinder_0.3_18_-13,Cylinder_0.3_18_-27,Cylinder_0.3_18_-40,Cylinder_0.3_24_40,Cylinder_0.3_24_27,Cylinder_0.3_24_13,Cylinder_0.3_24_0,Cylinder_0.3_24_-13,Cylinder_0.3_24_-27,Cylinder_0.3_24_-40,Cylinder_0.3_30_40,Cylinder_0.3_30_27,Cylinder_0.3_30_13,Cylinder_0.3_30_0,Cylinder_0.3_30_-13,Cylinder_0.3_30_-27,Cylinder_0.3_30_-40,Cylinder_0.8_18_40,Cylinder_0.8_18_27,Cylinder_0.8_18_13,Cylinder_0.8_18_0,Cylinder_0.8_18_-13,Cylinder_0.8_18_-27,Cylinder_0.8_18_-40,Cylinder_0.8_24_40,Cylinder_0.8_24_27,Cylinder_0.8_24_13,Cylinder_0.8_24_0,Cylinder_0.8_24_-13,Cylinder_0.8_24_-27,Cylinder_0.8_24_-40,Cylinder_0.8_30_40,Cylinder_0.8_30_27,Cylinder_0.8_30_13,Cylinder_0.8_30_0,Cylinder_0.8_30_-13,Cylinder_0.8_30_-27,Cylinder_0.8_30_-40,Car_0.3_18_40,Car_0.3_18_27,Car_0.3_18_13,Car_0.3_18_0,Car_0.3_18_-13,Car_0.3_18_-27,Car_0.3_18_-40,Car_0.3_24_40,Car_0.3_24_27,Car_0.3_24_13,Car_0.3_24_0,Car_0.3_24_-13,Car_0.3_24_-27,Car_0.3_24_-40,Car_0.3_30_40,Car_0.3_30_27,Car_0.3_30_13,Car_0.3_30_0,Car_0.3_30_-13,Car_0.3_30_-27,Car_0.3_30_-40,Car_0.8_18_40,Car_0.8_18_27,Car_0.8_18_13,Car_0.8_18_0,Car_0.8_18_-13,Car_0.8_18_-27,Car_0.8_18_-40,Car_0.8_24_40,Car_0.8_24_27,Car_0.8_24_13,Car_0.8_24_0,Car_0.8_24_-13,Car_0.8_24_-27,Car_0.8_24_-40,Car_0.8_30_40,Car_0.8_30_27,Car_0.8_30_13,Car_0.8_30_0,Car_0.8_30_-13,Car_0.8_30_-27,Car_0.8_30_-40
0,A8,A,4.57583745719002,4.348859253084549,4.405916730211616,4.44917919716386,4.599887859032092,4.499612650923217,4.424400783978419,3.5730052517255917,4.451936951845474,4.250203639050677,4.328357230097384,4.065025083007183,4.761787535368787,4.384956837433538,3.470881392035372,4.166611578952015,4.156886560383404,4.3082973408124845,4.212296324384107,4.12769745229942,4.583986078887958,4.727155933421945,4.114281657601225,4.305590145936085,4.504429206048137,4.979624731894325,4.316386840691247,4.643503967472199,3.491804397698076,3.9260882248396416,4.701214641600486,4.473288745728947,4.232930015704074,3.2083587134252554,3.50388573025955,3.366248039866768,4.165994611394583,2.561680173343806,4.257236497144702,4.419918219735319,4.29990781503722,4.474928234358325,4.535707775713626,4.682901300911646,4.501265942783955,4.8626224060945615,4.5987955108518905,4.538249416214818,4.636192964636734,4.304656945052334,4.4878526919503905,3.4113556116948707,4.451726306318742,4.529098209516823,4.415757184229534,4.359972213992887,3.9436745677751808,4.423703223924015,4.382590850474207,4.451819452784866,4.409455378689141,3.281818323038434,4.743250715580712,4.2097011007585055,3.776422273196531,4.4555189351978575,2.3363096614864443,4.311273509491874,4.445749628046566,4.081550398172448,4.774277315557715,4.214706196359913,4.481515797624589,4.7763701262415355,4.429396862639455,4.402192186301137,4.546075699167788,4.473592084447851,3.142816473088012,4.311746729957725,4.2757626554601815,4.286880028990581,4.378893481471552,3.8543703753658294,3.511042327216968,4.399822101912518,3.8898099112896376,4.221296545423402,4.734800981163792,3.9736289808536904,4.431646335634892,3.575603807400362,3.0362185317211035,4.119978520225707,3.5513627019119727,4.016945024960597,4.275805470986989,4.164964398372874,3.70544252598674,4.048740840946996,3.8461158681626375,3.987512779596439,3.2085058419734307,3.8693651600978956,3.9506298763726884,4.624444242242658,4.651988884285604,4.1700616200552,4.595088839552757,4.3921286866900795,4.2359270203653985,4.627293647475714,3.8618230079105524,4.279211349389617,4.230920129142745,4.297382952481408,3.4799759059771467,4.4191288794953305,3.4882147864113957,3.9739128970412834,4.066717937123484,4.093432312915869,4.78586458634741,4.423511369533235,4.316317161572902,3.903881150296519
1,A10,A,2.8338525514843185,3.403771731844072,2.3363096614864443,2.3363096614864443,4.304939575597826,4.827138647154229,3.5677765073963386,3.2652008578588494,3.0629141728869733,4.896221326750357,3.3833795832891806,2.635583445518041,2.925058704771979,3.4936808427862522,3.2394224890257837,2.3363096614864443,2.824377956129005,2.3363096614864443,2.9459467892177384,3.1155665373361217,4.084931060583675,3.4866329065376958,4.370603387111279,3.424375351825642,2.3363096614864443,2.9755719122786406,2.7849019770098513,3.581799683606322,2.9488843470193378,2.53940351558995,2.3463837727875227,3.6617741520777116,2.3363096614864443,4.333181525244987,3.4189472498945968,3.2114970686807767,2.3363096614864443,2.8345236616855822,2.3363096614864443,3.015985779581234,2.8696133406449222,3.420136564401924,3.659318296869619,3.5958492731357725,3.5758798346588265,4.326083863993227,3.6430742305733435,4.243034214890251,3.9171583967053873,3.766794900771299,3.989917129625365,5.033136346477298,3.4519506969538982,3.941227958664748,3.686578809659856,3.691177561441298,3.703414063069128,3.5181848416728845,3.0641887345318795,4.858966310090734,3.7541771401379096,3.052153248886323,3.588578340292818,3.3149845948054346,3.3543681436197668,4.993674943701456,2.9605013904327864,2.905740277110077,4.937939145363484,3.7478280840049103,4.769545840704281,3.056780335118925,2.3402892721753847,2.8650294481872085,3.2705175385506986,2.881327089029566,3.4503477983931576,3.963742588941575,3.5100293647982075,2.901807783238381,4.226661175634371,2.622866970216531,4.048933756583111,3.0355114845644593,4.2775111785193385,3.0605396647927567,4.811147232380391,4.714200360205207,3.7534178190014953,4.946593005370568,3.653637694415725,4.337649761344233,3.8984559882424694,3.844120325181,3.730809474546693,3.7969198506810575,3.5162739433048507,4.064041528108707,3.5197842423127956,3.5825559749555485,3.7497993264572913,2.9335334132741506,3.342985825226873,3.1847703903408577,3.5646897205765584,4.965822011639528,3.2982831307167464,4.930096741289614,3.104888426657481,3.4626100850176047,3.2693468612943106,3.524672335720952,3.52126225638691,4.950373481456611,3.8822382096519865,2.999140957384646,3.550325469364109,3.540797281923693,3.824839177206021,3.18500627268053,2.9179388260638026,2.8643203475581234,4.748638295511727,3.0234427667825776,4.73855094226753,3.652481513187823
2,A11,A,4.14944635340348,4.222490898086866,4.427696459453476,3.9681433806924225,2.702968645171954,3.8555466177789803,3.646090683005969,3.488841891514202,4.0011226670993825,3.37371449654621,4.138420457062059,4.703535693521423,4.130055758835559,3.7694349533643186,3.4854346644079346,3.3238090092330146,2.7378381033119448,3.635950085244017,3.1729072761950663,4.209683279631827,3.682641790275495,3.3737127834380374,4.030057387272207,3.9106120104427498,3.444718450402249,3.4593134479177285,4.050927536853307,3.7482901629654832,4.881956110442652,3.7516455460514777,3.843944572857315,4.091920626862974,3.088226674589712,3.2771530348445084,3.6267468364681186,4.072111904792818,3.7132851962926328,2.794391186763113,2.3363096614864443,4.6523209117744235,3.1091810409365674,3.540600129099753,3.810252261046803,4.419970210519001,4.133626010710441,3.9262327668649943,4.337060126007641,4.812199802407583,4.26444564110562,3.8564187479671594,4.487089781121867,4.1102912354617684,4.043604623477003,3.9876527904655914,4.243117953168109,3.608160059205894,4.0725628879035884,3.799574316810454,3.878674886787044,4.222318310545366,3.768906392432368,3.146941058821315,4.704084771202525,4.234235916513032,3.5532112086160677,4.212831498230641,3.4019131254564434,4.705898389033622,3.420992492590218,3.9042907887398797,4.489834415833172,3.8125478039505767,4.3012661798981755,2.9247345365236743,3.914773419569075,3.457208396751107,4.7472988905880245,4.5490625845572294,3.056731883876976,4.807712583268492,3.412979037915189,3.5073452872471553,3.58719273734086,3.9468871270180617,4.067561750019048,3.9575474620221884,4.003144972354982,3.942456958593967,3.740157948391966,3.9795231366658705,3.9027882964565483,3.7329948992668416,4.238732743554589,4.247067365976489,3.2819152228820054,3.6721940233085837,3.7962753968838325,3.8881337150880375,4.411579854375572,4.741804634152045,3.2293820407925904,3.689419808096424,3.4078329839435075,3.847955626618929,3.604247879510588,4.0166822552565575,3.999524778820468,3.172930729649175,4.002684944334286,4.235104846667644,4.129343877801111,3.7057999909981887,4.562387520608323,3.645003060077786,3.3151095780473065,4.088138343425465,4.105760320462033,3.289239596242351,3.6784952241401583,3.6708740757978235,3.4167783652491517,3.5481283476772747,2.5555856545085707,2.9916815805633017,3.250952231980387,4.482076586717146
3,A12,A,4.26374508415461,3.401323040433428,2.6513443907042222,4.543279888542072,4.315654032637731,3.255050750470045,3.7732757480859673,3.6997234449399947,3.4471527379069364,2.7257283510714667,2.3363096614864443,2.594532804657047,3.6337052175504954,3.658674595723053,3.5885302497233416,2.9365145054046895,2.3363096614864443,2.3363096614864443,2.3363096614864443,3.3121103975441586,4.374988676244066,3.648208489854704,3.3595795844638183,2.542562162276163,4.296677738633038,3.6325090826282085,3.2676717033070206,4.023926926240079,3.631986299207373,3.4519408749367693,2.436367454123338,2.926813506464098,2.5563757861322,3.213490952431683,3.5935399488796254,3.6480194380375375,3.2969062939623495,2.5716140222395993,3.6929506555155767,2.9937022143775134,3.0572849351964573,3.019321350643711,4.592024762257584,3.492245765629238,4.105654694199126,4.414327063569649,4.808691269776375,4.425026376180873,4.063243396148744,4.122338386478854,4.79085690759156,4.381890875459017,3.3553970435052274,4.343322188232005,3.8775657131503625,4.178472912280589,3.781038310072684,4.153717106398725,4.201437176929895,4.327382997307763,3.831101411647338,3.18632866593328,4.540019637600046,3.8994008805098526,4.110659906859848,4.2931308013931275,4.056017716117276,4.3334092305805685,4.910478990780895,4.42952787329746,3.675872985525584,4.931785430257106,4.228166433486951,4.304310063196571,4.103096650717069,4.4647206322624235,4.203028997533218,3.3652240301180956,3.8490870395127375,4.4195369917710075,3.5868890864556624,4.4571897642388905,4.52523870546192,3.6392736824271004,4.265974022845225,4.10521394256707,4.177706984310419,4.065900848038716,4.047048356540748,4.603502696499921,3.984815741609533,4.282779891762187,4.187788607941436,4.226355090585317,4.405925029517794,4.208639447274429,3.7153327109820946,4.414606475774835,4.231418983401745,4.168176639177385,4.128566262644703,4.720824735802576,4.1741472410910285,3.2897725894665735,4.201510397309719,4.189609892535854,4.190084346702817,4.373678510851259,4.001958220500929,4.1098697536656665,4.380111677312852,4.833181072583885,4.728669298151669,4.478966054727055,4.148125584646657,4.388118541273627,2.3914518310696633,3.670765634978149,3.5310679566631573,3.9015216587936616,4.285779878919192,3.0652583362026014,4.277147808540582,2.888280684235854,4.207199325722093,3.535379146082418
4,A14,A,3.592116043881595,4.854063352044633,2.719758062500952,3.526338171425154,4.881830238533078,3.778719472555904,3.6261861628254883,3.6196349438257402,4.972114122873121,2.8155440396078375,3.533424048502045,4.096407266717048,4.994816162136853,5.033136346477298,3.4311269889334244,4.152159751078854,3.061535463410855,5.033136346477298,3.84903315115343,4.927983129193131,3.5531631047804932,3.901325187275942,5.033136346477298,4.061786245932738,2.3363096614864443,4.9860789055603,4.89618021464549,4.958656852768434,4.175706399461535,4.245081421589512,4.626830889911814,3.3439926138066993,4.995050479309921,3.7200447322720698,5.033136346477298,4.050185930926521,5.023177642306073,3.4149908133835263,4.829887697976068,3.304046775979284,5.033136346477298,5.033136346477298,5.033136346477298,3.4671514629215774,5.033136346477298,4.109371424600603,5.033136346477298,3.9821380736833696,4.385506198962556,4.380308033724914,4.2654883240258075,4.219823390636326,3.3687458127359755,3.7623415570247296,4.151717156827416,4.836623118573441,5.033136346477298,3.7499315139774767,3.7794301436742823,5.0065643523792485,3.841170835087275,3.9659919271303354,3.4633740533278305,4.940498911907225,5.033136346477298,4.8553956882708915,5.033136346477298,5.033136346477298,4.540644571433897,3.962810221779807,4.112233595057841,3.918528001986861,4.065232899998557,4.460721819461511,3.344621739154473,4.919044721302039,4.835967571839087,3.891846624294702,3.993588983105849,3.695727701249014,3.6853735656626907,4.683078001014564,5.033136346477298,4.020749150994273,4.761158889899412,4.684208697317518,3.846614132310817,3.925700638677,4.455780106499787,4.476277731120089,4.10066007730718,4.450488114997555,4.700732152273358,3.3676533522746603,4.519739195892602,4.5394916018923075,4.4795671663025,4.15744799160792,4.687418152597424,4.694490644994706,3.7868200350143706,4.6390584375753265,3.727424458258065,3.9642550490527206,4.3108451645941495,4.173670243662988,3.5897936556233456,3.9447921828767325,4.3493408522718315,4.236331418943018,4.071107323394706,3.860728447881903,3.765844430427507,4.552724332923048,3.9107594074243424,3.983396986489,4.313578079305744,4.290919335380825,4.255429430612268,4.016146416187159,4.200243632833171,4.201612058436142,3.5508026036735476,4.457820559809835,3.9603286712948473,4.41304383894942
5,A15,A,3.2126621599750145,2.8294202771116015,3.061121058115146,2.857582231369426,2.976768594242517,4.537217844390673,4.864165705678122,3.3123778254467893,4.064191321670441,3.0019851833030877,2.6504895887442212,3.48860948390625,3.0732963735543044,3.6767400690289063,3.3635706241530148,3.1186195934921175,2.74903474241102,4.403353834512636,2.3363096614864443,3.2529343908831523,3.259387243164653,3.1621890644881523,3.45062099595334,3.3044258011985472,3.4523368475520426,3.9034199046528557,3.970491327630077,4.748140021047515,3.901334284031766,3.8943904617962377,3.4194749904994275,3.2623670218958085,3.3544572148116347,3.4506295619173706,3.222338223840893,3.611599572153474,2.522818012526286,2.7664631240127915,4.232233301972824,4.615567941484399,3.0149082339472417,3.147799498781949,3.8692474372582346,3.134818335399441,2.5024026974047513,2.3363096614864443,3.19053643084616,3.7802137861542953,3.515928654312068,3.4767293156912507,2.888255074857921,3.7699441009681656,4.0235166151562805,3.0702505186771045,3.1353498576839125,3.3653221594415657,2.968605651163647,2.9656487686800936,3.9615690743058045,2.3363096614864443,3.875721610914566,2.502873442644079,3.330571749375029,3.54033594136891,3.281645908241061,3.3730142760492607,4.457202982339758,3.3090323839165467,2.854768183889241,5.033136346477298,3.7567817644885637,2.9540614814069293,3.340354777756018,3.538226317412352,2.84436097765828,2.7331583371068664,3.2833870956344837,3.2436168265317047,3.704250954924463,2.3363096614864443,2.7202126049689728,3.1138641372516873,2.5752522537266644,3.0235303032440015,3.822938644928486,4.122979313064154,2.4915867878996356,3.498716634817752,3.294511543708145,3.29625936932982,3.9421381577326584,3.4342042776972455,3.3019360061549183,3.3658696410485467,2.3363096614864443,2.8438081963396167,3.586235245950338,3.801738832885281,4.515888488315147,3.318491631235799,2.3363096614864443,2.3363096614864443,2.3411171075103923,3.144747360196816,3.8104490893225176,4.089298183980215,3.0990466973928794,2.8813842689175093,3.0013315682044226,2.811169206451783,4.815587501186673,4.423751781229528,2.894411365461522,3.4812440893276917,4.7027586775589425,4.193450860974226,2.4906517815353393,3.275533246565874,3.5397432225667385,3.48484711465274,3.138578151360305,3.674642335601887,2.5993418655214837,3.59873125334186,3.132500173035233,3.7756049360728094
6,A16,A,4.270317257579368,3.7752601114083766,4.3116773973099125,3.952351566230005,3.1429891024450125,3.138360538880454,3.6293109618962487,3.7535525755674786,2.6186811378624295,4.073329109750711,2.749745414256077,3.974102004419309,2.943614428791878,4.491362650050423,3.5313624060887667,4.789991947995887,4.338041570000822,3.5812009762785166,2.3363096614864443,3.025674982676382,3.526314052948135,4.999194766785017,4.216937788119217,4.0486304122664105,4.109128407323178,4.654985538757778,3.238090828567055,3.998566873152347,4.102177140668624,5.013582945500191,2.947879894526586,3.377561235814219,2.979981884837756,3.732007667266496,3.8122077530059455,3.5208104454987432,3.5771003276203186,3.875024525285056,3.9031638789948215,4.078022580445245,3.484552443582171,3.9504041354609045,4.140194376049199,4.330813073949623,2.7414443574079628,4.2533942224250465,4.016515444416421,3.6547418400949736,4.133796979299185,4.298368357030792,4.5755689608467085,3.877691154290377,4.161815030997457,2.7192809000530183,3.737137572009943,3.641305287819325,5.033136346477298,3.149455433436191,3.068634161537658,3.724509111754012,2.3363096614864443,3.109072565936489,4.1334723223374334,3.807475048443976,4.890508514015404,4.629602276840743,4.049400542148784,3.4407853350667876,3.894753949926735,3.5707412616468384,4.070980912003251,4.783255281639517,3.0331537729386238,4.531985218503703,4.011518414927692,4.9391994409581645,3.522765245810394,3.191174049284815,3.288576126067736,4.903882698833964,2.3363096614864443,4.864905613474159,3.4443152985344616,3.5425965338023335,3.7319834828123817,4.180378364318838,3.8976745570195046,2.3363096614864443,3.2398965335313763,3.2222505241596253,3.6784654157650634,3.4916615962966744,3.242959862070228,4.214296503360849,2.3363096614864443,2.7948772277670297,4.19096100969932,4.217392381219795,4.3375243083247215,3.760429353616494,3.5723779407070286,3.7935731975285485,3.309381390065704,4.327165271767703,3.4179787829811907,4.643099681262863,4.321604429869741,4.419617173661139,2.3363096614864443,4.515856123488319,3.9053759627063527,4.352072969484223,3.67513518286192,4.602679787518498,3.419725340704672,4.381412321021883,3.676316621146975,3.534464072589608,4.216495378554892,4.906213596869724,3.353221036252386,3.382875896932573,4.118016654258465,3.4354065193617385,3.2920894829565697,4.86005888561058
7,A17,A,4.15430245201821,2.953019430004907,4.91641398792048,4.031233998845168,4.807950200725919,4.904085182260498,3.5689922687864857,5.033136346477298,4.536861473268291,3.4351097999454616,4.62076298398256,4.582067154344244,4.029776529537957,4.273766502521759,3.8104180953136573,3.2524668750099366,3.0417251957540885,4.506247017192418,4.5988969503264245,3.8411832867111064,3.782074899442695,3.4009776908652327,3.933432967720035,4.4262918146218695,4.5266958644204855,3.9984562653402964,2.814115068645997,4.74388288244505,5.033136346477298,4.8910631589554106,2.8789827036878246,4.401391543636348,4.450821669925869,3.8266086797456342,4.235663842042191,4.181360897532771,3.757116206481527,3.4671433493819523,3.4843003251109184,3.5676751977503742,4.089881785497933,3.9737500781457347,4.059169959180974,4.750571847383097,3.4240482993731556,5.033136346477298,4.243312692954149,4.9518805479721095,5.028075001175058,4.488327333221231,5.033136346477298,4.373517408680115,5.033136346477298,4.623562996429935,4.840514207958369,4.232643986363292,3.8597378508888522,3.867083169223297,3.736879782635775,4.103728726232404,4.438924556255334,3.69218598152209,4.073842320252638,5.033136346477298,4.651148782354747,4.756040634591734,4.921159792735197,4.978335217994426,3.5212119995597315,4.006557247907316,3.4104164220853352,4.912862217182578,4.696821863444714,2.8568333586634567,4.269008821041272,3.921233656845323,4.217286711182126,2.7674536854768523,2.658712186890345,4.618570006051108,4.726517528615326,3.5696315648331702,2.888454365317745,4.3118317464112765,4.004264481574007,4.894194357421994,5.033136346477298,4.425324840849954,4.608296294614858,4.096536325220478,5.005087265541695,4.729114645472498,3.099770615525286,4.774941652146701,4.7571777137618705,4.378948527157918,4.412588695618991,4.408297269824158,4.460572645932845,2.9652988389330357,3.8664980945122807,4.550853800345618,3.6729581298068568,2.7815162529834776,3.906051008499848,3.975091884670907,4.973178464385514,4.460785364554458,3.9048310048817836,4.208235738111134,4.694499790477385,4.116140299992555,3.571894974526766,4.450837889669557,3.0556182697124674,4.220583596785343,4.111712201195202,4.058972792374109,4.151184777294042,3.5224053603144565,4.597718793186755,4.743021608830338,3.921896897716397,4.411256620725385,3.0895331330891307,3.380071799647162
8,A18,A,3.75380516590853,3.549905276370726,5.033136346477298,3.0429726660188146,3.341047438834488,4.445350785950253,3.891794379407393,3.5752910150738533,3.4883229465765404,3.7279802081493334,3.2827152266787962,2.7373520123956068,3.4939564313115423,4.1332195425397495,4.483715292304449,4.266826338996363,4.383460356403523,3.177689597356496,3.2415855948761063,3.3227777172521344,3.970267951000871,4.559869949929046,4.220646321412427,3.1521790296651813,3.1005408369141696,3.600027475164402,3.8297103901291325,4.601581955983887,4.74304251808678,3.8689403324989646,3.9163213542765916,3.33019678175095,2.3925208564609157,3.4058638102620944,3.2929905969988025,4.490269754134368,4.411589563120505,3.3176958379949903,2.3363096614864443,4.755433319088157,4.75187579132804,3.648931816815307,3.7893999005111567,4.141594970146501,4.301731020022071,3.504163934075263,2.3363096614864443,4.594475197946567,4.715687781023407,4.00370096031937,4.317205940395881,3.5196690690323957,4.774460537572226,3.3342456399375453,3.9678563083629754,4.7028357714634375,3.73000460267836,4.19363770856464,4.266154397279175,2.5665711186187985,4.261111041428218,4.19798915652858,4.363113019589216,3.8514522821591584,3.578544642690679,3.497366283568187,4.156150446857126,4.449429759850194,3.8931901757262257,3.698474523849544,4.610558642146987,3.260500569098674,3.2522444478959667,4.102555261982282,3.278286722183664,4.409763024903773,3.5096762302620923,3.629239316284074,4.450168694323067,3.4527541913265054,4.698020980345437,3.9963553302935577,3.307766534804881,4.038217498710458,4.279600143885738,3.339881750320288,4.259600210154142,3.30653755699774,4.112864013658982,3.890070400585696,4.289349373196084,4.338110012980533,3.3070376065551934,4.264390244514521,3.6763118110855415,4.198334088503333,4.535941000866987,3.748879174837995,4.407993800529706,4.770081900491176,3.5054946322539706,3.3038311229087625,3.1007474795993146,4.1181178906115825,4.233346070613075,3.703529368170743,3.884563418291993,3.4105306905132253,3.2678911065539262,3.9011114907858064,3.309660872597399,3.5789365107087416,3.4787107393791987,4.466296204259163,3.4434183970961176,3.366037107092608,4.360887008993558,4.034099389239184,4.107589131077168,3.5373630099725992,3.770164005764567,4.363544130631437,3.334609116790032,3.076126304121796,3.5534330862370127,3.616183215764184
9,A19,A,3.2696628511236643,3.0168536387760936,2.9317269435780786,3.958769749903567,3.227315312001269,3.2475324727180035,4.055342091918782,4.424444754707819,3.690142156569539,2.650875081240364,2.8384618992028954,2.9298675400521055,3.926036949796949,3.509336134442725,3.5711333865242256,2.772864309262189,2.3363096614864443,4.030237947799395,3.504057173114006,3.3532364236062895,3.14215589066346,3.4970483243187993,3.452735829330518,3.97857917723896,3.4042364257527784,3.6316250062511037,3.827821712814114,4.358813917123462,3.568830760040774,3.934728865243784,3.124934747415388,3.280541598615461,4.103003465482104,2.645012419957498,4.1760193219891875,3.4308490598494954,3.1087519825613046,3.875566260991664,3.7673171821888083,2.7192182720570313,3.4784889237323884,3.247072923713323,4.405685908675736,4.230318324000076,4.7613873006959375,4.1633275669937095,4.30394035569504,4.252257726448013,3.7333125208578304,3.920015777949273,3.961589249322169,4.290477797144303,3.1479102946831294,3.9202726830692773,3.781131781631523,3.7791823456213467,3.517012259543836,3.99372206367232,3.7841557697085118,3.825198083781911,3.91048742703089,3.7519535441204734,3.605969473071397,3.632789146116385,3.1282992637919897,3.889720953170141,4.017002468494654,4.136943696693303,4.153497513427079,4.11939337152949,3.238919599556599,4.395686043730673,3.9590628768237055,4.06947520067922,3.8124340245968997,3.9938149515224715,4.101466143457682,3.9371847762392695,3.2402924430976463,4.418656855975507,4.031473272703404,3.533586705707892,3.826709313827564,3.701604891191445,4.274496544969187,4.2049658656379,4.051005861785897,4.0265037054827015,4.083900883025983,4.30580304155611,4.332709150245557,4.10036805119966,4.095063803506066,4.216031818333336,4.11360668399436,3.9291447875660075,4.071571036173289,3.5507962893028435,4.399349474149909,4.616253538096528,3.932411343515208,3.748422785664347,3.711838858248847,3.8540194580928815,4.335983743292346,3.26631460013236,3.8454279711161954,4.1744498833199915,2.3363096614864443,4.273666207109898,4.232875021996051,3.4440263209208717,3.252363210789085,3.8218853649470828,4.494235608516482,3.3559757925478606,4.199754626652366,4.029232365453015,4.118645553423378,4.186067406133441,3.489826810011475,3.9760618392427984,4.195746302257747,3.4058910159734372,3.2147979215109026,3.3043527251504012
